Name,ID,Hand,Type
Keon Taylor,{71D3C957-1A45-4316-BF10-E4392A3129B4},R,Pitcher
Connor Bagnieski,{095A00B3-F5C0-4D1F-8E01-442CB386CAF6},L,Hitter
Kyle Bischoff,{70ACE669-E5A5-4302-9050-982E4F54AEE2},R,Pitcher
Brant Brown,{6E45B9F9-34BC-4FFD-A88B-68FF41F3E391},R,Pitcher
Elijah Brown,{63923B7D-7A8D-44E8-82B8-07AA65EB3573},L,Hitter
Nick Caruso,{82A56CCC-83FA-400F-B980-4B44273F6645},R,Hitter
Christian Dearman,{294429CF-D352-4168-92F2-3B5D43486B82},R,Pitcher
Buddy Dewaine Jr.,{F94A051B-88A0-4825-AB08-4BF37A05D64B},R,Hitter
Connor Emmet,{B30BC2D0-7615-45AB-B6E6-DF3BA91FADBA},L,Hitter
Duncan Hewitt,{4A02BC2A-B1C2-4230-BEDB-39C602A0CA79},R,Hitter
Dawson Lane,{6417977A-5064-4F12-A267-6756FCF04518},L,Pitcher
Collin Ledbetter,{13924F11-3425-4E05-A6EB-3D2C1F40FB6A},R,Pitcher
Bryan Leef,{15F7558E-0E11-4207-842A-C389CE9AA09D},R,Hitter
Sam Loda,{69BC859E-A591-4CC8-A51B-785036261D9C},R,Hitter
Mitch Moralez,{E8CC83B4-2542-4F1E-812D-1F65A2FF0554},R,Hitter
Jack Parisi,{591F5341-946D-4D52-B27E-52B035285E73},R,Pitcher
Houston Parker,{862BF1E4-DE16-41BB-A62B-5B89714531A9},R,Hitter
Tyler Ruetschle,{623CE25A-0BA6-4879-98E8-28D84FF2EAAF},R,Pitcher
Tanner Thomas,{637DB609-A5EA-44E5-9396-B3FFC66BF948},L,Hitter
Greg Vaughn Jr.,{7ABF2060-46C0-4497-82B4-6165D1636C12},R,Hitter
Rafi Vazquez,{F4D7B43C-1BB5-4F9D-AEEA-C46E2DA6A668},R,Pitcher
Wade Weinburger Jr.,{C00996D4-56AE-4543-89E9-281B08DF5C90},L,Hitter
